Name,mdust,mdust_err_high,mdust_err_low,mdust_flag,tdust,tdust_err_high,tdust_err_low,tdust_flag,alpha,alpha_err_high,alpha_err_low,alpha_flag,wturn,wturn_err_high,wturn_err_low,wturn_flag,lir_total,lir_total_err_high,lir_total_err_low,lir_total_flag,lir_sf,lir_sf_err_high,lir_sf_err_low,lir_sf_flag,lir_agn,lir_agn_err_high,lir_agn_err_low,lir_agn_flag,agn_frac,agn_frac_high,agn_frac_low,agn_frac_flag,agn_frac_err_low,agn_frac_err_high
PG 1001+054,4.8081679974,,,-1,,,,,0.9194424479629999,0.079131084981000188,0.074123452448999871,0,64.7394259764,9.1631754415000017,11.962667826400001,0,11.315783892600001,,,-1,10.662521332300001,,,-1,11.1716091057,,,1,0.75803451584699999,,,1,,
PG 1004+130,7.8147872190499994,0.25218679903999952,0.24166356581999882,0,30.701520381199998,4.5825700247000043,4.4800711837999998,0,1.61246795727,0.13687315955000012,0.092928969489999957,0,37.935797639099995,5.9884832780000039,6.8219242277999932,0,11.990063304400001,0.013399370399998389,0.016381223700001613,0,11.258753216700001,0.14086442790000042,0.16781759310000233,0,11.901572275099999,0.040374125999999677,0.05575886339999947,0,0.81354065042400003,,,0,0.1,0.1
PG 1011-040,7.4563197914999995,0.044166637300000922,0.044852553749999302,0,24.674642147100002,0.62920675639999857,0.5997294184000026,0,1.8396935861000001,0.080377066079999837,0.06975547220999978,0,38.410080103299997,2.7352465049999992,2.911473520499996,0,10.8381043974,0.0097929378999985772,0.010138187500000839,0,10.3347299742,0.025738929899999263,0.02907537970000007,0,10.6740918483,0.023372166799999761,0.021918305599999854,0,0.68524940767800002,,,0,0.1,0.1
PG 1012+008,8.1760497168800015,0.19427411286999963,0.15479689585000145,0,23.092680018799999,2.1752474918000004,2.6726437092999973,0,1.3929865896200002,0.092379901369999962,0.084854533870000193,0,45.490364126899998,6.8320242503999964,6.077010395799995,0,11.644384031900001,0.013574616399997907,0.013130757100000778,0,10.884670001,0.099142207699998153,0.14573962270000074,0,11.562180869100001,0.033784023899999127,0.035779479400000369,0,0.82712847982500004,,,0,0.1,0.1
PG 1022+519,7.2147927647600003,0.053113597409999436,0.050220540189999774,0,25.642145199400002,0.80007365679999864,0.82495804510000426,0,1.12554432401,0.082983608479999971,0.063412439449999969,0,62.136908439999999,11.620525940699991,11.500689023,0,10.448364350599999,0.0089327880000009685,0.0088713869999992312,0,10.193398999899999,0.037327296900000917,0.044093011999999376,0,10.0977080975,0.050191666699999971,0.05792080189999993,0,0.44553059044200005,,,0,0.1,0.1
PG 1048+342,8.1837736358700006,0.096199887479999191,0.082484028939999732,0,23.268653373400003,1.0275895755999969,1.3580943627000011,0,1.3529201702000002,0.15815653118999973,0.13861501494000006,0,40.491879191199999,9.2078036193000017,7.4971094282999999,0,11.262214286199999,0.016710264500000349,0.018604725399999467,0,10.9057311191,0.04909784939999895,0.068560233700001305,0,11.011201171,0.051318848700001141,0.054768753799999459,0,0.56155384261800001,,,0,0.1,0.1
PG 1048-090,7.0558936172899998,,,-1,,,,,1.5565881697200001,0.17651600857999994,0.17006827429000038,0,36.914929833800002,7.7254815289000049,6.4068918305000047,0,11.801862129100002,,,-1,11.1761013999,,,-1,11.6215249556,,,1,0.74095676678,,,1,,
PG 1049-005,7.655549584310001,0.11925283370000006,0.12308876527000212,0,46.772970101300004,2.7627932236999939,2.3688351410999999,0,0.42509002350399999,0.11683277140100007,0.102392122355,0,50.861263984200001,17.836522494800001,14.0112393641,0,12.250606864000002,0.017139022899998579,0.017026718000002106,0,12.2054166233,0.030672402200000448,0.029165525999999886,0,11.450703197599999,,,-1,0.16105665037699998,,,-1,,
PG 1100+772,6.9416523451799996,,,-1,,,,,1.3930134212,0.087963092860000147,0.055089195479999908,0,61.806430812899997,3.4283689940000031,17.849259133199993,0,12.1141278136,,,-1,11.660021451199999,,,-1,11.914956350899999,,,1,0.64352244944799997,,,1,,
PG 1103-006,5.2476849424200003,,,-1,,,,,0.43263106112800004,0.089020535150999891,0.084901356605000089,0,61.518069387799997,15.022527878100007,15.00982220889999,0,12.037770820499999,,,-1,11.5519909651,,,-1,11.843024164900001,,,1,0.65834871942100004,,,1,,
PG 1114+445,6.6695240168599996,0.71084093837000051,0.70441369829999978,0,35.494665846700002,13.388929143099993,9.8819785173000021,0,1.8742921515400002,0.15437091645000001,0.093967204230000378,0,32.417292866799997,3.7422395071000025,5.0286435385999937,0,11.677677280399999,0.010807075200000682,0.016390752399999542,0,10.965761638900002,,,-1,11.557069128299998,,,1,0.79670538377800004,,,1,,
PG 1115+407,8.296051510469999,0.060759183910001013,0.047337088699999086,0,25.883402421500001,0.73064266929999633,1.1486236884000007,0,1.3159538533399999,0.11734029547000024,0.083065375549999931,0,50.411704353299996,15.000890406800011,11.084674861599993,0,11.551806398,0.012416224200000769,0.015106254900000948,0,11.297104235299999,0.032065362000000874,0.061300607999998036,0,11.199851730200001,0.083653293399997608,0.072987900600001154,0,0.44175723909199999,,,0,0.1,0.1
PG 1116+215,7.1295866653799997,0.46912557086000017,0.42058495768999915,0,31.936228790999998,8.3899318245000032,7.5714038109999962,0,1.07002453049,0.12508411235999994,0.098961205897000082,0,41.215956944799998,8.2580514562000076,7.5583229649000003,0,11.807909338800002,0.011320737899998434,0.014337695500001857,0,11.0349537148,,,-1,11.7060344621,,,1,0.82771315657100009,,,1,,
PG 1119+120,7.1181809894500008,0.043972665959999269,0.04362450212000013,0,28.956142964000001,0.76139619989999829,0.77448979220000425,0,1.7691339822799999,0.05856472760000031,0.05510070936,0,41.048609430600003,1.9509769963999943,1.8766373704000046,0,11.0268956905,0.0036137471999992954,0.0040771616999979443,0,10.411587986000001,0.03061037459999838,0.032302289800000494,0,10.906220234500001,0.013134294400000357,0.01428666780000043,0,0.75725029702199997,,,0,0.1,0.1
PG 1121+422,8.5661852681199999,9.2452299998768694e-05,7.6895359999440416e-05,0,23.0000105877,8.6841499999934513e-05,0.00010047570000182304,0,0.76348916919200005,7.1736675999911625e-05,8.4054251999976515e-05,0,45.0000177959,8.4875999995404072e-05,8.3816800000136027e-05,0,11.431507881500002,6.8551599998301072e-05,7.587610000214795e-05,0,11.260357710199999,9.1957600000469597e-05,8.6572399998985361e-05,0,10.9443238032,0.00017965590000201814,0.00017271689999809325,0,0.32569194956300002,,,0,0.1,0.1
PG 1126-041,7.6366796555499992,0.038196068570000463,0.036580538419998199,0,26.7738675875,0.62794284309999782,0.68740494570000266,0,1.6268725585600001,0.058169156519999765,0.059479186439999943,0,46.318024647500003,2.6427516267999991,2.1667200904000055,0,11.309625823499999,0.0041890033000004934,0.0042341889999981674,0,10.7265228296,0.026961586199998777,0.03390110170000149,0,11.1787965311,0.013646648599999978,0.014695849199998889,0,0.7392622278030001,,,0,0.1,0.1
PG 1149-110,7.5240697390299998,0.07347297348000037,0.065215902330000297,0,22.0230661696,1.0519440777,1.1382904928999977,0,1.9572201303599999,0.06140581810000012,0.058217727499999983,0,52.718378190299994,3.0073079161000109,2.8782741592999912,0,10.7848149734,0.0048395561000003084,0.0050732455000002119,0,10.103305880900001,0.063101587700000294,0.069470869500001697,0,10.683192351400001,0.019619762799999663,0.019904994800000964,0,0.79177403504999999,,,0,0.1,0.1
PG 1151+117,3.8560033873900004,,,-1,,,,,1.3055013094399999,0.11365432000999998,0.09520837010999994,0,46.152595635399997,6.8604930783000029,7.0375167461999979,0,11.273419835799999,,,-1,10.3233241827,,,-1,11.158929358499998,,,1,0.88151578743600001,,,1,,
PG 1202+281,7.9489878158800007,0.13372599084999948,0.13190875473000041,0,24.345423842300001,1.8212966323000011,1.8735949802,0,2.1458178352299999,0.074175700840000136,0.068878600639999732,0,34.991391649000001,2.1873581185000006,2.3211261703999995,0,11.6284238155,0.013597651000001321,0.012367177199999801,0,10.787195240299999,0.0823380989000011,0.094875504699999169,0,11.561661624400001,0.021479576199999073,0.024998883400002114,0,0.85615754439400005,,,0,0.1,0.1
PG 1211+143,6.8211415113400005,0.23155783990999979,0.23242902890000128,0,27.858538383300001,4.4248915112999967,3.7661616307999992,0,1.60134122135,0.086563010860000178,0.07104895646000009,0,35.356623335100004,1.9637002927999987,2.7639352124000069,0,11.4086148616,0.0068415359999995928,0.0093473624999997895,0,10.4086148616,,,-1,11.362857371039325,,,1,0.9,,,1,,
PG 1216+069,4.6078140029300005,,,-1,,,,,0.75556264613199997,0.1201331297610001,0.10088171425999992,0,52.517567307100002,11.849984274599997,13.192994286900003,0,11.7785129925,,,-1,10.857303572499999,,,-1,11.636719703699999,,,1,0.87160486675799997,,,1,,
PG 1229+204,7.4578603156199987,0.053366882100000623,0.051008975769998521,0,25.146648393299998,0.71040764470000539,0.73594448409999558,0,2.1477712213999998,0.092920062470000175,0.074886401540000147,0,33.1714057557,2.1809981353000012,2.5683201403999973,0,11.001652823499999,0.0095799099999993587,0.012659352400000046,0,10.3850013323,0.029723001400000726,0.034541362100000583,0,10.881089279200001,0.019092420699999835,0.022658539900000108,0,0.75772358735799994,,,0,0.1,0.1
PG 1244+026,6.8508850939100006,0.13004622042000058,0.13629460011000027,0,26.666741147500002,2.2892122390000011,2.3610381532000027,0,1.9706250307900002,0.090266130269999634,0.069224720720000077,0,41.883309193700001,3.6009623431000009,3.9979177149999998,0,10.653786031199999,0.0088381079000008356,0.010259850999998932,0,9.9309660778199991,0.093526412380001034,0.12497268487999946,0,10.562158375800001,0.031865373499998739,0.031893823100000773,0,0.81053390303799999,,,0,0.1,0.1
PG 1259+593,4.4500246516699997,,,-1,,,,,0.42906379899800001,0.104687878269,0.10244015062800005,0,49.954886879799993,14.407145313600004,12.646521313499989,0,12.0829134983,,,-1,11.0829134983,,,-1,12.037156007739325,,,1,0.9,,,1,,
PG 1307+085,6.9275873944600006,0.39101713027999896,0.38603822752999939,0,32.031427625200003,6.8230113517999982,5.9435725536000028,0,1.8211356973599997,0.19593814544000021,0.12290932417999989,0,31.285377068300001,4.943311117600004,5.3060252213999988,0,11.4583657648,0.02305361730000044,0.024992661200000654,0,10.4877251591,0.1537781674000005,0.192167833600001,0,11.4084123251,0.036562002600000199,0.044954378599999956,0,0.89142441915399995,,,0,0.1,0.1
