Name,lir_total,lir_total_err_high,lir_total_err_low,lir_total_flag,lir_sf,lir_sf_err_high,lir_sf_err_low,lir_sf_flag,lir_agn,lir_agn_err_high,lir_agn_err_low,lir_agn_flag,agn_frac,agn_frac_err_high,agn_frac_err_low,agn_frac_flag
CGCG229-015,10.0145933697,0.010584579699999708,0.043560996280000097,0,9.710337644897324,0.029676554472676031,0.021996098597323765,0,9.7167653205577107,0.011965683552288553,0.10917481562771059,0,0.50370000000000004,0.0083999999999999631,0.071500000000000064,0
CGCG300-062,10.007240765100001,0.022040460899999559,0.021925574850000018,0,9.8471585407786808,0.021162140531320262,0.021727658588680754,0,9.4962142898265096,0.076245586903489482,0.085820423626509879,0,0.30830000000000002,0.047300000000000009,0.043899999999999995,0
CGCG312-012,9.6041483117100004,0.027258435709999418,0.024143082160000162,0,9.392033662650924,0.020543810609076729,0.036859112790923021,0,9.1911854294534567,0.088769662636543956,0.067536916533457614,0,0.38640000000000002,0.066899999999999959,0.04720000000000002,0
CGCG319-007,10.737973560899999,0.018416525100001024,0.031743531399998304,0,10.507277021089081,0.015882763410919765,0.037887470189080119,0,10.352976175424587,0.088521900775413442,0.08815024602458621,0,0.41210000000000002,0.070999999999999952,0.050732000000000055,0
CGCG341-006,11.105448268699998,0.021288641500001759,0.021603773199998955,0,11.020161555673623,0.029407572326377363,0.022506544973623477,0,10.356599611875353,0.08370500842464601,0.12603891247535337,0,0.17829999999999999,0.033500000000000002,0.036395999999999984,0
CGCG367-009,9.676780293060002,0.034594917659998004,0.034272337120002661,0,9.2400239942003992,0.030205850899600151,0.12469271312039965,0,9.4790065307510716,0.072771016428928803,0.032222511481071692,0,0.63419999999999999,0.091600000000000015,0.009199999999999986,0
CGCG420-015,10.7278137796,0.14456313970000068,0.0081403617000006534,0,10.283633462661191,0.010703503538808334,0.13041166406119054,0,10.534265102847263,0.24322619305273641,0.007676349447262254,0,0.64039999999999997,0.16800000000000004,0.0,0
CGCG468-002NED01,10.544826327699999,0.016283001599999736,0.021671872799998937,0,10.513589375897247,0.014191891102752763,0.028475759397247558,0,9.664741737957991,,,-1,0.1318,,,-1
CGCG493-002,10.372518879899999,0.032262830100000528,0.024650957999998724,0,9.9283385629611907,0.062312816708809393,0.019174138141190511,0,10.178970203147262,0.023544069452738015,0.020703774147262877,0,0.64039999999999997,0.0,0.029999999999999916,0
CGCG535-012,10.576776988300001,0.017525221499999688,0.054822296700001161,0,10.060364285268895,0.090672997931106281,0.0067197267688943185,0,10.419074122628066,0.018044102671932905,0.12390875482806685,0,0.69550000000000001,0.0070999999999999952,0.10570000000000002,0
CenA,9.7259224676800002,0.028120870280000432,0.046598462249999528,0,9.7259224676800002,0.028120870280000432,0.046598462249999528,0,8.7259224676800002,,,-1,0.1,,,-1
ESO005-G004,10.1144839455,0.018867903300000322,0.0092316206999996098,0,10.100852539070273,0.015141247129728086,0.014217533270272753,0,9.1144839455,,,-1,0.1,,,-1
ESO031-G008,9.8385365226899992,0.031121950990000258,0.018469216569998892,0,9.5961602685983891,0.022040278291608928,0.041909976858390152,0,9.4696757729468111,0.087839243183189808,0.0377306110168103,0,0.42770000000000002,0.062299999999999967,0.0061000000000000498,0
ESO033-G002,10.329301819299999,0.022943017499999385,0.023913317099999887,0,9.8851215023611907,0.0233406048588094,0.024774832201190478,0,10.135753142547262,0.032138291152737253,0.028406942047261907,0,0.64039999999999997,0.013700000000000045,0.014900000000000024,0
ESO103-035,10.491729043499999,0.020767364300001034,0.02993728170000054,0,10.00387958042203,0.026985264677970022,0.026840816932029554,0,10.320904117417086,0.020958832082914824,0.029513269617087445,0,0.67479999999999996,0.0020999999999999908,0.0,0
ESO121-IG028,10.0814928036,0.027930383600001107,0.030780234399999884,0,9.8391165495083897,0.042325662671611752,0.041319351498389167,0,9.7126320538568116,0.061251284953188545,0.074722263786812348,0,0.42770000000000002,0.062299999999999967,0.054800000000000015,0
