Name,mdust,mdust_err_high,mdust_err_low,mdust_flag,tdust,tdust_err_high,tdust_err_low,tdust_flag,beta,beta_err_high,beta_err_low,beta_flag,alpha,alpha_err_high,alpha_err_low,alpha_flag,wturn,wturn_err_high,wturn_err_low,wturn_flag,lir_total,lir_total_err_high,lir_total_err_low,lir_total_flag,lir_sf,lir_sf_err_high,lir_sf_err_low,lir_sf_flag,lir_agn,lir_agn_err_high,lir_agn_err_low,lir_agn_flag,agn_frac,agn_frac_err_high,agn_frac_err_low,agn_frac_flag
MCG+06-24-008,7.6255773595200003,0.038780013999999419,0.038213323679999966,0,22.5769171548,1.0713840461000004,1.0425115228000017,0,2.37034014882,0.20748792362000001,0.19161912663000003,0,1.09013648087,0.53647769978000004,0.42650324977200005,0,45.776599433400001,19.6808717093,15.554515125300004,0,10.410618041000001,0.019143988699999781,0.016827994800001633,0,10.452705229600001,0.019876632499999047,0.020876625200001442,0,9.4106180410000011,,,-1,0.1,,,-1
MCG+08-11-011,8.20999237869,0.20782878428999929,0.25328985927000058,0,19.404798029000002,5.4867812649999976,3.1162087119000006,0,1.9183099209500001,0.54966060181999987,0.59040753980000016,0,1.7824991500999998,0.40430713270999985,0.35491443106999987,0,48.553507385000003,9.8093231137999979,7.1900260020000033,0,11.0664788772,0.037119714400001058,0.03839984749999914,0,10.4322591214,0.10261802519999996,0.063063666699999743,0,10.9489703733,0.055272050099999248,0.062276908599999459,0,0.76931754015999998,0.036507062726000017,0.068449538337999938,0
MCG+12-10-067,8.1045592744600015,0.15510535667999825,0.08969188740000078,0,24.0851244286,2.6223975677999967,3.7129229797999983,0,1.5763672699000002,0.41454011301999971,0.30523004973000023,0,1.7488792960699999,0.43453749123999974,0.35977112722999993,0,50.253962428100003,16.337645824699997,14.545432046600006,0,10.8401592134,0.02549869969999996,0.025049805200000108,0,10.6992885078,0.047928460799997907,0.076319682700001223,0,10.2988029199,0.16926407600000104,0.24796021330000073,0,0.28474400582199999,0.125396843433,0.11583034396399999,0
MCG-01-05-047,8.0382678183399996,0.050083221990000482,0.044542459779998822,0,25.467885219899998,1.2130430506000032,1.3530404792999988,0,1.2808428866399999,0.15726969324999995,0.14391565318999988,0,1.2610125135500001,0.52387501192000019,0.42965559803900011,0,48.274197689099999,19.341231541199996,17.838005715600001,0,10.6370094807,0.016491589100001036,0.01815642629999914,0,10.6408513951,0.016568588500000203,0.025716230800000517,0,9.9253142966599999,,,-1,0.13316261311200001,,,-1
MCG-01-24-012,7.6351438580800011,0.21310311633000012,0.22191530933000081,0,20.448823409100001,5.1564423266000006,3.6325546123000017,0,1.7600666144699999,0.5649097221099999,0.50263461555999989,0,2.2912325080099998,0.55497546011000054,0.50916017521999968,0,41.363102818200005,10.33210451539999,7.7817438905000031,0,10.345373628600001,0.0408424973999999,0.050504749099999913,0,9.9207671755600018,0.11209581513999822,0.10885813990000059,0,10.137978222200001,0.083750474099998584,0.11805312040000082,0,0.626648057428,0.084971688279000035,0.12488613103699997,0
MCG-01-33-063,7.8274147057500008,0.052399024289998763,0.04861373936000124,0,22.639952628699998,1.3258397392000028,1.2276529893999957,0,1.4509113685799997,0.22394235833000042,0.20711430380999962,0,0.99053977231599999,0.44881967047399984,0.39478276952899993,0,49.177552714899996,18.724622822400001,15.337162477299991,0,10.213854271599999,0.018162624600000399,0.019709112399999285,0,10.2343036623,0.021144089599999916,0.023205758899999651,0,9.2138542715999989,,,-1,0.1,,,-1
MCG-01-40-001,7.8857533660200003,0.25293608067999873,0.21515488943000083,0,23.263582802199998,6.0061249738000022,5.1074426556999981,0,1.6575801321899999,0.59419494082000024,0.4563010784599999,0,2.6927002579199999,0.4611528352500005,0.30659766201000016,0,52.475373707399996,12.549612595100001,10.452130973899997,0,10.7166646464,0.026078088800000288,0.023412173500000577,0,10.444222380999999,0.12953145270000022,0.11461849940000057,0,10.3995062712,0.11681507419999981,0.28250323720000026,0,0.47559536228100002,0.125822349078,0.21551005014700003,0
MCG-03-34-064,7.072722498010001,0.075146055969999459,0.049498841580001063,0,32.872709275300004,2.2715438613999979,3.1158038151000049,0,1.9675574543300001,0.20425125052000004,0.16671370172000022,0,2.4452846894400002,0.76088242167999987,0.61850184369000027,0,30.017381572399998,9.4644902998999996,8.0974791991000004,0,10.9742496582,0.043629459900000001,0.046576804700000807,0,10.6769383279,0.039495650399999249,0.078542905400000862,0,10.6775095134,0.12455648050000079,0.14366810229999949,0,0.50002722417400003,0.11325783771599995,0.097862142333000002,0
Mrk10,8.1437136843999998,0.1752064019699997,0.11907374849999997,0,23.322731914299997,3.1254305413000019,3.7281758440999972,0,1.31599148124,0.43591010271000008,0.30307441406000013,0,1.8956271623299998,0.5079461220799999,0.33533563782999987,0,51.243612042099997,17.565747225100012,17.241959219199998,0,10.6645813241,0.020055570300000269,0.025691141100001147,0,10.5541549997,0.05543543360000136,0.07165543969999888,0,10.0490922114,0.19081348440000134,0.43275874266999992,0,0.235725140414,0.12371374049400002,0.15099569237159999,0
Mrk18,6.7735916970500005,0.11384023856999903,0.067894732310000983,0,26.867084721299999,2.4630079623000007,3.2692449857999968,0,2.22942867119,0.30022923463000017,0.26094525065999985,0,2.25502681667,0.38931080009000008,0.39722733289000023,0,51.259451753,24.437300091899992,17.517728726400001,0,10.085986676900001,0.025580959599999176,0.028383102600001209,0,10.024179994900001,0.050740563599999788,0.17238083678999949,0,9.9241375470600008,,,-1,0.61365411540600001,,,-1
Mrk198,7.0786791282500001,0.060953644939998775,0.04955369325000003,0,29.532642132399999,2.4701910904000002,2.4002761873999994,0,1.7471034217200001,0.23546404460999981,0.25060237730000012,0,1.3700316208899999,0.58858323971000015,0.46870377198199986,0,44.1835617403,25.535869690600002,17.0344978961,0,10.372929940399999,0.024737451200000038,0.023432513199997729,0,10.294594801200001,0.028640412299999696,0.059804195800001736,0,9.5572874245200001,0.28920357854999956,0.240076136059999,0,0.15268670090199998,0.13344289098000001,0.062391509518799987,0
Mrk359,6.9407563652300004,0.097112913000000134,0.059242249540001346,0,27.580067299099998,2.4679609754000005,2.9828507633000001,0,2.1390724198500002,0.26074002149999975,0.25091992687000042,0,1.7087681972400002,0.4996237969299997,0.39937096272000017,0,45.089980328400003,22.91117685399999,14.307428134200002,0,10.3426452513,0.029144472000000476,0.028498681900000378,0,10.1947353255,0.04000765219999991,0.11192280709999913,0,9.8113350175799994,0.23009237802000015,0.2180750476999993,0,0.29391118926499998,0.17354867003000002,0.105223477807,0
Mrk509,7.3636349388600006,0.12433860675999853,0.066962673049999921,0,29.491036896999997,3.0296336608000054,3.9380732929999951,0,2.0869249288400002,0.28311131285000002,0.25849185327000024,0,1.5367988469799998,0.7398246326300002,0.45726219868999984,0,40.493503918400002,22.092720997600004,15.082790477700001,0,11.123496666600001,0.031774837799998679,0.042176426900001118,0,10.7685432004,0.060218480299999655,0.14329093379999946,0,10.8772063093,0.12138929700000034,0.13589121949999949,0,0.56192049555000001,0.14094340374800007,0.10472300233199999,0
